id,name,seo_title,seo_description,og_image
292663757,Projects,Projects | Exhibition Booth & Retail Design | Twotenses,"Explore Twotenses' portfolio: 250+ projects delivered for 150+ brands, from exhibition booths and pop-up stores to flagship retail and interior design.",https://a.storyblok.com/f/210339/10262x6352/fa1bc44bb0/edited-15.jpg
175071373827767,Beauty Science Tech 2026,Beauty Science Tech 2026,Beauty Science Tech 2026 - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/2000x1333/4c0f6e2a42/instagram-3.jpg
170871541926541,Whatplroo Blok M,Whatplroo Blok M,Whatplroo Blok M - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/1620x1080/57f149e6cd/edit-1-ig.jpg
198009511481256,Achete De Nous 2.0,Achete De Nous Brightspot,Achete De Nous Brightspot - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/6240x4160/2660b4e3c8/twotenses-achete-42.jpg
197983857600289,Makeover Store Senayan City Revamp,Makeover Store Senayan City Revamp,Makeover Store Senayan City Revamp - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/6000x4000/bfe887ef6c/edit-6.jpg
179225525526903,Swisse,Swisse Grand Indonesia,Swisse Grand Indonesia - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/2000x1333/dee2d6fc9d/instagram-21.jpg
148174869973847,Makeover Mastershade 2.0,Makeover Mastershade 2.0,Makeover Mastershade 2.0 - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/10262x6352/fa1bc44bb0/edited-15.jpg
175077237151664,Earth Love Live - Beauty Science Tech 2026,Earth Love Live - Beauty Science Tech 2026,Earth Love Live - Beauty Science Tech 2026 - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/2000x1055/05c3d3dc9f/instagram-4.jpg
175088915750158,Tavi - Beauty Science Tech 2026,Tavi - Beauty Science Tech 2026,Tavi - Beauty Science Tech 2026 - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/2000x1153/77b999bd77/instagram-3.jpg
175088956022031,DSE - Beauty Science Tech 2026,DSE Beauty Science Tech 2026,DSE Beauty Science Tech 2026 - a project by Twotenses interior design studio,https://a.storyblok.com/f/210339/2000x1333/1a304c7219/instagram-8.jpg
